Rank,Project,ReleaseId,ClassPath,NSmells,LOC,Methods,PublicMethods,IsInterface,IsEnum,IsAnnotation,IsAbstract,DiscardReasons
38,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java,78,3958,138,35,false,false,false,false,
39,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,78,715,45,39,false,false,false,false,
40,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java,78,517,33,24,false,false,false,false,
41,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,75,1528,260,252,false,false,false,false,
42,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,75,728,86,69,false,false,false,false,
43,OPENJPA,999,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/AnnotationPersistenceMappingSerializer.java,75,650,35,8,false,false,false,false,
44,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,69,561,38,33,false,false,false,false,
45,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,67,809,57,40,false,false,false,false,
46,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,66,918,125,121,false,false,false,false,
47,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Expressions.java,64,1678,294,271,false,false,false,false,
48,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,64,655,89,87,false,false,false,false,
49,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java,62,556,67,49,false,false,false,false,
50,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,61,711,56,29,false,false,false,false,
51,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,61,648,86,79,false,false,false,false,
52,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl.java,59,1785,247,223,false,false,false,false,
53,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,56,936,54,34,false,false,false,false,
54,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,56,627,63,53,false,false,false,false,
55,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,56,624,51,34,false,false,false,false,
56,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/util/SourceCode.java,53,827,108,82,false,false,false,false,
57,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,51,764,46,25,false,false,false,false,
58,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,47,682,106,101,false,false,false,false,
59,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,43,1851,284,282,false,false,false,false,
60,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java,41,537,64,42,false,false,false,false,
61,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,40,903,171,165,false,false,false,false,
62,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,37,610,106,100,false,false,false,false,
63,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,37,542,76,60,false,false,false,false,
64,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,36,614,24,13,false,false,false,false,
65,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,35,575,72,64,false,false,false,false,
66,OPENJPA,999,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,34,516,48,31,false,false,false,false,
67,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,32,553,96,94,false,false,false,false,
68,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,32,510,56,43,false,false,false,false,
69,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,31,830,87,83,false,false,false,false,
70,OPENJPA,999,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/SourceAnnotationHandler.java,24,504,52,34,false,false,false,false,
71,OPENJPA,999,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,19,1246,155,88,false,false,false,false,
72,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,19,640,49,33,false,false,false,false,
73,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,18,693,142,139,false,false,false,false,
74,OPENJPA,999,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedResultSet.java,15,886,192,192,false,false,false,false,
75,OPENJPA,999,openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/AsmHelper.java,10,516,24,23,false,false,false,false,
