Rank,Project,ReleaseId,ClassPath,NSmells,LOC,BranchingKeywords,Methods,PublicMethods,IsInterface,IsEnum,IsAnnotation,IsAbstract,DiscardReasons
1,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,162,1203,265,84,31,false,false,false,false,
2,OPENJPA,999,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java,16,372,63,28,24,false,false,false,false,
