SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,FIX_RATE,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,CLASS_AGE,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,CROSS_DIRECTORY_CHANGE_RATIO,NSMELLS,SMELL_DENSITY,Bugginess
72,10,7.200000,10,0,4,0.000000,1,144,72,216,141,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
39,1,39.000000,1,4,8,0.000000,1,159,53,279,75,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
185,2,92.500000,2,1,4,0.000000,1,358,185,531,349,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
28,0,0.000000,0,0,8,0.000000,1,101,32,174,53,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
34,1,34.000000,1,2,8,0.000000,1,127,35,220,64,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
153,5,30.600000,9,4,5,0.000000,1,320,157,487,304,1028,42.200000,45,37,1.000000,1.000000,0,0.000000,no
29,0,0.000000,0,0,9,0.000000,1,99,30,169,55,1028,35.777778,103,37,1.000000,1.000000,0,0.000000,no
109,20,5.450000,20,2,4,0.000000,1,217,109,325,214,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
83,13,6.384615,13,0,4,0.000000,1,167,84,251,163,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
80,12,6.666667,12,0,4,0.000000,1,161,81,242,157,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
71,10,7.100000,10,0,4,0.000000,1,143,72,215,139,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
87,14,6.214286,14,0,4,0.000000,1,175,88,263,171,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
80,11,7.272727,11,0,4,0.000000,1,162,81,244,157,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
38,3,12.666667,3,0,8,0.000000,1,154,53,270,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
82,13,6.307692,13,0,4,0.000000,1,165,83,248,161,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
36,2,18.000000,2,0,5,0.000000,1,107,37,178,69,1028,45.200000,56,37,1.000000,1.000000,0,0.000000,no
87,14,6.214286,15,0,4,0.000000,1,175,88,263,171,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
87,14,6.214286,14,0,4,0.000000,1,175,88,263,171,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
89,14,6.357143,14,0,4,0.000000,1,179,90,269,175,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
91,15,6.066667,15,0,4,0.000000,1,183,92,275,179,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
76,12,6.333333,12,0,4,0.000000,1,152,77,228,149,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
66,9,7.333333,9,0,4,0.000000,1,134,67,202,129,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
60,8,7.500000,8,0,4,0.000000,1,120,61,180,117,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
37,2,18.500000,2,0,8,0.000000,1,122,38,207,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,1,36.000000,1,0,8,0.000000,1,139,44,242,69,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
38,1,38.000000,1,1,8,0.000000,1,126,38,214,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
68,5,13.600000,7,2,5,0.000000,2,128,61,188,118,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
44,1,44.000000,2,2,8,0.000000,1,200,55,356,87,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
44,1,44.000000,2,2,8,0.000000,1,200,55,356,87,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
82,4,20.500000,12,3,5,0.000000,2,153,75,224,143,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
43,1,43.000000,2,2,8,0.000000,1,156,45,269,82,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
43,1,43.000000,2,2,8,0.000000,1,156,45,269,82,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
39,1,39.000000,1,1,8,0.000000,1,128,39,217,74,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
38,1,38.000000,4,0,8,0.000000,1,127,39,216,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
66,3,22.000000,5,3,5,0.000000,2,125,60,184,116,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
69,7,9.857143,8,2,5,0.000000,2,152,77,235,149,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
